WMfileName,condition
C:\Users\user\Desktop\2024-2\문화와 사회 인지\프로젝트\Old\5_EAMA6,ER
C:\Users\user\Desktop\2024-2\문화와 사회 인지\프로젝트\Old\1_SEAMA6,SR
C:\Users\user\Desktop\2024-2\문화와 사회 인지\프로젝트\Old\2_EAMA6,EI
C:\Users\user\Desktop\2024-2\문화와 사회 인지\프로젝트\Old\6_SEAFA6,SR
C:\Users\user\Desktop\2024-2\문화와 사회 인지\프로젝트\OldNew\10_EAFA6,EI
C:\Users\user\Desktop\2024-2\문화와 사회 인지\프로젝트\Old\2_SEAFA6,SI
C:\Users\user\Desktop\2024-2\문화와 사회 인지\프로젝트\Old\6_EAFA6,ER
C:\Users\user\Desktop\2024-2\문화와 사회 인지\프로젝트\Old\7_SEAFA6,SR
C:\Users\user\Desktop\2024-2\문화와 사회 인지\프로젝트\Old\3_EAFA6,EI
C:\Users\user\Desktop\2024-2\문화와 사회 인지\프로젝트\Old\4_SEAFA6,SI
C:\Users\user\Desktop\2024-2\문화와 사회 인지\프로젝트\Old\6_EAMA6,ER
C:\Users\user\Desktop\2024-2\문화와 사회 인지\프로젝트\Old\7_EAMA6,EI
C:\Users\user\Desktop\2024-2\문화와 사회 인지\프로젝트\Old\5_SEAMA6,SI
C:\Users\user\Desktop\2024-2\문화와 사회 인지\프로젝트\OldNew\1_EAFA6,ER
C:\Users\user\Desktop\2024-2\문화와 사회 인지\프로젝트\Old\4_SEAMA6,SR
C:\Users\user\Desktop\2024-2\문화와 사회 인지\프로젝트\Old\2_SEAMA6,SI
