WMfileName,condition,type,correctResponse
C:\Users\user\Desktop\2024-2\문화와 사회 인지\프로젝트\OldNew\5_EAMA6,ER,Old,f
C:\Users\user\Desktop\2024-2\문화와 사회 인지\프로젝트\OldNew\1_SEAMA6,SR,Old,f
C:\Users\user\Desktop\2024-2\문화와 사회 인지\프로젝트\OldNew\2_EAMA6,EI,Old,f
C:\Users\user\Desktop\2024-2\문화와 사회 인지\프로젝트\OldNew\6_SEAFA6,SR,Old,f
C:\Users\user\Desktop\2024-2\문화와 사회 인지\프로젝트\OldNew\10_EAFA6,EI,Old,f
C:\Users\user\Desktop\2024-2\문화와 사회 인지\프로젝트\OldNew\2_SEAFA6,SI,Old,f
C:\Users\user\Desktop\2024-2\문화와 사회 인지\프로젝트\OldNew\6_EAFA6,ER,Old,f
C:\Users\user\Desktop\2024-2\문화와 사회 인지\프로젝트\OldNew\7_SEAFA6,SR,Old,f
C:\Users\user\Desktop\2024-2\문화와 사회 인지\프로젝트\OldNew\3_EAFA6,EI,Old,f
C:\Users\user\Desktop\2024-2\문화와 사회 인지\프로젝트\OldNew\4_SEAFA6,SI,Old,f
C:\Users\user\Desktop\2024-2\문화와 사회 인지\프로젝트\OldNew\6_EAMA6,ER,Old,f
C:\Users\user\Desktop\2024-2\문화와 사회 인지\프로젝트\OldNew\7_EAMA6,EI,Old,f
C:\Users\user\Desktop\2024-2\문화와 사회 인지\프로젝트\OldNew\5_SEAMA6,SI,Old,f
C:\Users\user\Desktop\2024-2\문화와 사회 인지\프로젝트\OldNew\1_EAFA6,ER,Old,f
C:\Users\user\Desktop\2024-2\문화와 사회 인지\프로젝트\OldNew\4_SEAMA6,SR,Old,f
C:\Users\user\Desktop\2024-2\문화와 사회 인지\프로젝트\OldNew\2_SEAMA6,SI,Old,f
C:\Users\user\Desktop\2024-2\문화와 사회 인지\프로젝트\OldNew\22_EAFA6,ER,New,j
C:\Users\user\Desktop\2024-2\문화와 사회 인지\프로젝트\OldNew\28_SEAFA6,SR,New,j
C:\Users\user\Desktop\2024-2\문화와 사회 인지\프로젝트\OldNew\23_EAFA6,EI,New,j
C:\Users\user\Desktop\2024-2\문화와 사회 인지\프로젝트\OldNew\27_SEAFA6,SI,New,j
C:\Users\user\Desktop\2024-2\문화와 사회 인지\프로젝트\OldNew\16_EAFA6,ER,New,j
C:\Users\user\Desktop\2024-2\문화와 사회 인지\프로젝트\OldNew\24_SEAFA6,SR,New,j
C:\Users\user\Desktop\2024-2\문화와 사회 인지\프로젝트\OldNew\20_EAFA6,EI,New,j
C:\Users\user\Desktop\2024-2\문화와 사회 인지\프로젝트\OldNew\26_SEAFA6,SI,New,j
C:\Users\user\Desktop\2024-2\문화와 사회 인지\프로젝트\OldNew\13_EAMA6,ER,New,j
C:\Users\user\Desktop\2024-2\문화와 사회 인지\프로젝트\OldNew\6_SEAMA6,SR,New,j
C:\Users\user\Desktop\2024-2\문화와 사회 인지\프로젝트\OldNew\19_EAFA6,EI,New,j
C:\Users\user\Desktop\2024-2\문화와 사회 인지\프로젝트\OldNew\25_SEAFA6,SI,New,j
C:\Users\user\Desktop\2024-2\문화와 사회 인지\프로젝트\OldNew\12_EAMA6,ER,New,j
C:\Users\user\Desktop\2024-2\문화와 사회 인지\프로젝트\OldNew\7_SEAMA6,SR,New,j
C:\Users\user\Desktop\2024-2\문화와 사회 인지\프로젝트\OldNew\16_EAMA6,EI,New,j
C:\Users\user\Desktop\2024-2\문화와 사회 인지\프로젝트\OldNew\9_SEAMA6,SI,New,j
C:\Users\user\Desktop\2024-2\문화와 사회 인지\프로젝트\OldNew\9_EAMA6,ER,New,j
C:\Users\user\Desktop\2024-2\문화와 사회 인지\프로젝트\OldNew\8_SEAMA6,SR,New,j
C:\Users\user\Desktop\2024-2\문화와 사회 인지\프로젝트\OldNew\15_EAMA6,EI,New,j
C:\Users\user\Desktop\2024-2\문화와 사회 인지\프로젝트\OldNew\12_SEAFA6,SI,New,j
